Student_Name,Register_Number,Fees_Details,Fees_Status,Attendance_Percentage,Books_Borrowed,Scholarship_Eligibility,Contact_Number,Email_ID,Date_of_Birth,Faculty,CGPA,College_Joining_Date,Major,Emergency_Contact,Guardian_Name,Hostel_Room,Transportation_Mode,LinkedIn_Profile,Internship_Status,Year_of_Passing,Hobbies,Blood_Group,Nationality
Riaan Tara,REG1183,Pending,Due,65.72,No,Eligible,912620246144,baraddhanuk@sarkar.org,2007-07-20,Science,6.97,2027-06-02,Civil,9732360690,Parent of Riaan Tara,H191,Bike,https://linkedin.com/in/riaan-tara,Not Started,2031,"Music, Travel",B+,Indian
Indranil Chander,REG1184,Paid in Full,No Due,92.73,Yes,Eligible,915818608224,tejas44@saraf-chahal.net,2000-04-09,Science,7.5,2019-07-14,Civil,9213737405,Parent of Indranil Chander,H406,Walk,https://linkedin.com/in/indranil-chander,Not Started,2023,"Photography, Music",O-,Indian
Aaryahi Rajagopal,REG1185,Paid in Full,No Due,92.02,Yes,Eligible,2973164808,zgolla@yahoo.com,2000-11-22,Arts,7.71,2019-09-17,AI & DS,9331422382,Parent of Aaryahi Rajagopal,H383,Bike,https://linkedin.com/in/aaryahi-rajagopal,Ongoing,2023,"Sports, Reading",AB+,Indian
Badal Char,REG1186,Pending,Due,84.21,No,Eligible,2889463982,balanlagan@yahoo.com,2007-02-19,Arts,9.68,2027-08-29,Civil,9047515816,Parent of Badal Char,H317,Bus,https://linkedin.com/in/badal-char,Ongoing,2031,"Music, Drawing",A+,Indian
Taran Chaudhry,REG1187,Paid in Full,No Due,84.6,Yes,Not Eligible,4455529034,luthradamini@hotmail.com,2007-02-25,Engineering,5.12,2027-04-14,Mechanical,9741706287,Parent of Taran Chaudhry,H288,Car,https://linkedin.com/in/taran-chaudhry,Completed,2031,"Drawing, Sports",AB-,Indian
Saira Brar,REG1188,Paid in Full,No Due,86.09,No,Not Eligible,7910971413,vaidyabiju@khosla.com,2001-06-05,Science,7.1,2019-04-20,Civil,9653369444,Parent of Saira Brar,H445,Bus,https://linkedin.com/in/saira-brar,Completed,2023,"Reading, Coding",O+,Indian
Dhanuk Yohannan,REG1189,Paid in Full,No Due,62.18,No,Eligible,916752099661,gdutta@issac.org,2004-02-25,Science,5.57,2023-08-22,AI & DS,9601319597,Parent of Dhanuk Yohannan,H98,Walk,https://linkedin.com/in/dhanuk-yohannan,Completed,2027,"Coding, Travel",O-,Indian
Riya Badal,REG1190,Partial Payment,Due,94.93,No,Not Eligible,2810450692,oorjachokshi@yahoo.com,2000-09-24,Science,8.88,2020-10-17,Civil,9640195083,Parent of Riya Badal,H84,Car,https://linkedin.com/in/riya-badal,Not Started,2024,"Travel, Sports",B-,Indian
Pihu Chopra,REG1191,Partial Payment,Due,61.83,Yes,Not Eligible,5554535610,ritviksunder@jani.org,2004-03-04,Science,7.02,2024-09-08,Civil,9461396673,Parent of Pihu Chopra,H174,Walk,https://linkedin.com/in/pihu-chopra,Not Started,2028,"Reading, Reading",A-,Indian
Aaina Anne,REG1192,Pending,Due,74.22,Yes,Eligible,2018969758,seher91@hotmail.com,2004-05-15,Engineering,6.65,2023-01-14,Civil,9077536551,Parent of Aaina Anne,H52,Car,https://linkedin.com/in/aaina-anne,Ongoing,2027,"Coding, Sports",AB-,Indian
Oorja Bora,REG1193,Partial Payment,Due,97.98,Yes,Not Eligible,8636488973,indranilkanda@hotmail.com,2007-04-30,Science,5.18,2025-06-23,Mechanical,9269947907,Parent of Oorja Bora,H408,Car,https://linkedin.com/in/oorja-bora,Ongoing,2029,"Travel, Travel",B-,Indian
Ivan Handa,REG1194,Partial Payment,Due,78.85,No,Not Eligible,4744146313,zarabajwa@gmail.com,2004-05-06,Engineering,7.51,2023-03-02,Civil,9120915731,Parent of Ivan Handa,H232,Car,https://linkedin.com/in/ivan-handa,Completed,2027,"Photography, Photography",B-,Indian
Aniruddh Sule,REG1195,Paid in Full,No Due,79.54,No,Not Eligible,914424014038,jivika62@yahoo.com,2002-07-22,Science,6.71,2022-06-19,Computer Science,9811395413,Parent of Aniruddh Sule,H414,Walk,https://linkedin.com/in/aniruddh-sule,Not Started,2026,"Music, Travel",O-,Indian
Inaaya  Bath,REG1196,Paid in Full,No Due,71.36,No,Not Eligible,912627937760,ranganathantushar@hotmail.com,2007-03-21,Science,8.59,2026-05-09,Computer Science,9822947661,Parent of Inaaya  Bath,H162,Walk,https://linkedin.com/in/inaaya--bath,Ongoing,2030,"Travel, Travel",O-,Indian
Ahana  Joshi,REG1197,Paid in Full,No Due,92.56,No,Eligible,3199039811,badamikabir@gmail.com,2000-06-29,Engineering,6.44,2019-04-15,Information Technology,9317553941,Parent of Ahana  Joshi,H442,Walk,https://linkedin.com/in/ahana--joshi,Not Started,2023,"Coding, Photography",O-,Indian
Indrans Shetty,REG1198,Partial Payment,Due,99.9,Yes,Not Eligible,919132567801,jayeshsachdeva@hotmail.com,2000-07-04,Engineering,7.71,2020-08-20,Civil,9047268689,Parent of Indrans Shetty,H190,Walk,https://linkedin.com/in/indrans-shetty,Completed,2024,"Travel, Drawing",A-,Indian
Mahika Gade,REG1199,Paid in Full,No Due,65.19,Yes,Not Eligible,63328799,indranilchaudhry@deo.biz,2002-06-16,Arts,8.52,2021-12-18,Information Technology,9097805922,Parent of Mahika Gade,H423,Bike,https://linkedin.com/in/mahika-gade,Ongoing,2025,"Travel, Travel",B+,Indian
